1,22,19,70
2,18,63,77
3,48,36,95
4,15,44,39
5,39,44,2
6,74,7,74
7,5,68,85
8,51,37,50
9,50,83,74
10,43,78,68
11,82,79,60
12,42,72,79
13,12,34,100
14,81,2,1
15,53,29,90
16,74,10,70
17,64,68,24
18,57,27,84
19,97,3,56
20,38,42,5
21,17,65,98
22,95,81,43
23,50,35,75
24,16,31,16
25,10,18,31
26,88,12,50
27,97,48,86
28,50,44,91
29,51,5,33
30,99,60,87
31,6,81,68
32,69,41,52
33,68,62,27
34,62,27,79
35,19,18,33
36,6,1,57
37,47,79,12
38,10,29,11
39,78,31,71
40,5,21,16
41,20,52,20
42,34,19,56
43,47,56,32
44,75,99,26
45,64,64,52
46,82,77,53
47,55,98,59
48,63,76,33
49,62,12,78
50,32,55,28
51,58,34,62
52,61,21,97
53,24,3,54
54,78,72,80
55,100,73,9
56,76,17,53
57,89,20,44
58,46,99,54
59,100,50,76
60,17,34,72
61,9,84,79
62,33,98,82
63,43,38,69
64,58,3,30
65,94,19,8
66,39,60,40
67,18,99,33
68,2,31,58
69,56,22,93
70,72,17,9
71,42,38,11
72,27,69,54
73,3,78,89
74,1,36,10
75,2,70,20
76,97,48,62
77,98,83,19
78,70,53,66
79,41,48,30
80,45,60,48
81,1,67,6
82,31,24,79
83,99,55,39
84,35,49,35
85,46,84,43
86,65,51,53
87,77,70,77
88,80,64,46
89,25,57,57
90,94,48,1
91,7,88,67
92,79,81,38
93,10,12,31
94,73,71,21
95,60,54,67
96,42,92,96
97,91,70,26
98,51,32,25
99,91,83,97
100,66,45,45
101,35,82,87
102,69,27,24
103,93,29,49
104,46,71,43
105,78,79,16
106,1,36,20
107,3,63,93
108,14,36,12
109,78,99,73
110,44,30,56
111,95,34,93
112,92,5,96
113,16,53,47
114,61,90,20
115,34,48,42
116,32,79,41
117,11,70,26
118,30,13,74
119,27,60,20
120,47,60,18
121,92,96,67
122,55,1,60
123,24,72,24
124,21,26,54
125,99,85,86
126,22,40,86
127,44,76,20
128,44,50,74
129,29,53,36
130,70,86,54
131,90,19,100
132,2,34,89
133,53,91,13
134,11,31,60
135,5,40,45
136,68,52,5
137,40,74,44
138,81,71,33
139,94,55,92
140,31,92,90
141,34,92,68
142,60,12,96
143,67,29,86
144,75,55,53
145,61,95,12
146,92,56,97
147,22,98,78
148,87,89,90
149,77,15,56
150,31,43,14
151,59,23,1
152,60,81,1
153,59,45,56
154,45,42,76
155,52,96,54
156,8,5,32
157,81,82,90
158,70,86,36
159,39,25,92
160,65,8,31
161,71,68,21
162,93,34,17
163,95,6,5
164,25,70,6
165,85,96,74
166,86,10,92
167,29,48,22
168,45,84,79
169,9,68,97
170,66,6,50
171,62,38,77
172,80,42,80
173,90,29,30
174,91,23,90
175,16,48,34
176,46,88,22
177,80,88,91
178,2,64,61
179,17,38,93
180,51,23,19
181,1,71,7
182,29,82,100
183,36,64,8
184,86,83,2
185,98,90,37
186,35,6,19
187,34,42,92
188,71,28,95
189,32,62,12
190,95,77,29
191,44,8,9
192,29,46,68
193,8,32,91
194,32,79,22
195,72,31,8
196,42,48,14
197,25,10,1
198,42,39,37
199,91,38,100
200,91,34,26
201,67,16,10
202,92,50,14
203,14,29,49
204,94,74,3
205,70,50,43
206,59,18,86
207,62,79,42
208,40,21,19
209,96,50,22
210,97,2,23
211,74,62,7
212,1,61,92
213,23,99,39
214,21,37,4
215,41,59,96
216,42,98,61
217,3,24,5
218,60,65,3
219,98,41,73
220,3,38,25
221,94,83,19
222,59,8,99
223,82,55,95
224,61,94,86
225,47,90,92
226,65,59,78
227,22,62,90
228,61,61,64
229,45,22,45
230,15,91,62
231,46,89,44
232,56,22,23
233,7,26,6
234,89,29,83
235,91,13,44
236,65,86,18
237,87,19,14
238,61,53,51
239,50,92,72
240,48,47,21
241,93,33,69
242,85,16,83
243,7,3,8
244,22,77,23
245,6,3,91
246,13,75,58
247,28,35,33
248,14,12,27
249,75,78,46
250,91,56,21
251,25,57,10
252,81,47,3
253,11,31,49
254,31,23,25
255,99,30,97
256,56,50,8
257,77,50,25
258,7,83,9
259,69,6,94
260,90,97,63
261,14,67,93
262,51,40,18
263,53,44,17
264,94,10,15
265,21,65,14
266,68,62,89
267,35,34,15
268,90,8,40
269,88,9,28
270,8,35,89
271,34,17,33
272,61,76,52
273,75,88,37
274,80,84,73
275,27,76,50
276,61,26,14
277,56,26,14
278,100,68,39
279,1,5,29
280,60,8,100
281,91,51,96
282,90,98,63
283,1,39,99
284,43,40,35
285,45,34,95
286,84,81,65
287,78,45,40
288,17,63,97
289,88,74,54
290,41,95,74
291,56,28,79
292,78,45,73
293,78,13,75
294,35,3,92
295,53,7,48
296,41,13,30
297,63,82,100
298,72,22,15
299,79,54,5
300,31,82,5
301,57,49,58
302,69,65,30
303,25,50,87
304,81,96,19
305,35,99,67
306,67,81,24
307,32,74,60
308,19,56,85
309,68,51,30
310,45,100,58
311,88,33,2
312,12,45,77
313,70,96,42
314,5,83,5
315,38,51,82
316,56,7,19
317,84,9,49
318,93,51,37
319,23,45,91
320,23,1,57
321,23,67,16
322,94,26,64
323,52,15,64
324,8,23,20
325,73,75,72
326,94,35,37
327,57,78,32
328,81,17,23
329,47,76,93
330,96,98,34
331,85,38,77
332,8,48,86
333,81,31,70
334,87,44,63
335,75,58,53
336,44,10,59
337,94,21,55
338,23,18,82
339,67,92,15
340,59,48,72
341,56,48,40
342,92,80,93
343,49,48,51
344,29,70,47
345,53,38,89
346,86,84,47
347,84,25,6
348,61,82,13
349,10,48,91
350,60,75,65
351,48,11,20
352,60,75,10
353,65,80,65
354,5,52,56
355,56,41,90
356,50,55,79
357,17,99,48
358,5,80,94
359,47,91,20
360,100,45,98
361,12,18,83
362,59,82,5
363,14,84,43
364,42,39,16
365,55,4,86
366,59,88,84
367,65,9,2
368,55,64,78
369,98,85,73
370,68,15,71
371,3,56,59
372,29,7,2
373,52,66,29
374,7,37,86
375,8,4,68
376,8,22,96
377,21,47,82
378,82,28,4
379,94,3,20
380,47,75,87
381,38,29,45
382,25,3,77
383,63,11,89
384,79,96,2
385,53,14,84
386,95,64,15
387,31,11,84
388,7,6,31
389,38,57,30
